,text,class
0,These cups are amazing. My kids don't look like babies with them and I don't have to worry about their teeth or spills. Win win!,X_train
1,"Bought this heater to warm up my daughters breastmilk, and after a month no longer heated milk.",X_train
2,"The best there is and so convenient getting it through Amazon.  I was conserving what personal stock I had, but now I don't have to.  Don't quit carrying it!",X_train
3,"I bought this for a 12 month old outgrowing her infant seat and have used it for a couple of months. I don't know how it will be with a larger child. It is nicely enclosing for a small child, and the higher base makes it easier for a baby to see out the windows. Both of these benefits could end up being drawbacks with a bigger kid. I like the headwings for comfort and possible increased safety. The cover has the feel of an upholstered seat, rather than just a car seat cover. The harness/headrest adjustment is ridiculously easy, just pull up on a headrest tab, and everything moves up, and there is a pad covering any openings in the back, so there are no temptations for little fingers to dig into the mechanism or seat foam. Installation is also very easy. I switch this car seat to a caregiver's car once a week, and it is just a matter of loosening straps, undoing the latch, and then redoing it. I haven't tried a seat belt install. The crotch strap has two positions, but the padding flap is sewn on, so it is not clear how it would work with the outer strap position. I chose this seat over passing on an old Radian in use by an older child because it seemed cushier and cozier for an infant and better for sleeping in, and, even though it was expensive, I will be OK with moving my child to a dedicated forward facing harnessed seat or a Radian when she is older if this seat isn't working well. I hope that its extra safety features add something, but as we all know, even the least expensive seats pass the same safety tests.<br />I'm editing this review to highlight a limitation of the seat. It does not seem to be good for tall babies. You can only use the lowest 7 harness positions for rear facing, and my daughter has been at the top one since about 15 months. I'm not sure how far I can let her shoulders get above the harness slots, but she is basically outgrowing this seat with its 45 lb RFing weight limit when she weighs about 25 lbs. She is longer than most (100th percentile), but I still figured I could RF her till at least 2 without worrying that she was outgrowing the seat. For my daughter, this seat turns out to have not been a good purchase.",X_train
4,"We are very picky about coffee and I'd never been able for some reason to make an awesome cup of coffee....finally...this coffee is fantastic!<br /><br />See...it wasn't me, it was the bad coffe I'd been using 😼",X_train
5,"I came across these crackers in a local market and decided to give them a shot. I had tried several other brands of rice crackers (ka-me, sesmark, back to nature), and they all have this distinct burnt rubber after-taste to them that I just cannot swallow. Not these! Diamond's have the most pleasant taste, and are really addicting. When I found these in the market, they were half the price of the other brands I mentioned. Not sure if this applies for all places.",X_train
6,"all new flavors with black, green and spice teas.  I think the price is well worth the trial of these teas.",X_train
7,Candy was real hard and not fresh. It was not the way it is suppose to be. Very disappointed. Love this candy by Brach's and was looking forward to enjoying an old time favorite.,X_train
8,Not good at all. Tasted stale.  Would never purchase again.  Awful quality and just bad taste. Would not recommend to anyone,X_train
9,"I have twins who generally like this toy. It has lots of sounds, lights, and everything a developing baby could want. However, I am giving this product three stars because its easy for tiny baby fingers to get trapped between the sun and the tab that changes the settings. We eventually had to tape it down to prevent anymore injuries.",X_train
10,These bids are great!! they wash amazing and look adorable. My son did fugure out how to pull it off so many times I just dont use it,X_train
11,I bought this for my son's lunch.  I put warm water in it for 5 minutes and then add the food.  It stays warm until lunchtime and seems very durable.,X_train
12,"Found the candy not easy to eat, like it wasn't fresh, I just gave up on it. Its one of my favorite, but very disappointed with his brand.",X_train
13,"even though i am not nursing, i am a first-time mom and i can't imagine sleeping well at night without this bassinet! the BEST feature is that you can see into to bassinet while laying in bed.  i can't tell you how many times i have reached in and placed the pacifier back into my son's mouth @ 3:00am and then rolled over to go back to sleep.  no getting up- no worries as to why he is fussing.  i can see right in and i know he is alive and well.  the light/music and most importantly vibration unit is also great.  vibration is key because my son goes right back to sleep when i put it on.  i read that babies are soothed by vibration and my son loves it.  i have no trouble w/ the sheets smelling, fitting or washing (which worried me because the other reviewer said she had a problem)- and it was really easy to put together.  i have reccomended to all of my friends- nursing or not.",X_train
14,The first 3 nights with my newborn baby I hardly slept. I kept having nightmares that I would find him dead in his cot. Then I bought this product and have slept wonderfully since - well as good as you can sleep with a baby! This product is very reasonably priced and I would have paid so much more for it. I have no complaints and my baby is now 5 months old.,X_train
15,"My husband loves unfrosted Blueberry Pop tarts. This product is difficult, at best, to find in any store so I decided to order them through AMAZON to get the product when I want to receive it, but the last order was delivered 12/22/13 (Sunday) and when I opened the box the very first box of Pop tarts had no Pop tarts in it. I have been unable to find a method of contacting responsible parties, so I am writing this review. Beware. You may not get what you paid for. I will search for what I need.",X_train
16,"These bars are dry and crumbly.  They are almondy and taste ok, but you need something to drink with them with EVERY bite.  And don't try to dip them because they will dissolve :)",X_train
17,A friend and I went to the manufacturer's website and ordered it there. Its half the price for the same size and they have a 5 pack there. As far as taste goes. I love love love my creamer in my coffee. I have to have it. I'm on a low carb diet and have been using heavy cream for my coffee for a while that does work but sometimes you want a bit of variety that being said I love the fact that this has zero cals or carbs. OMG I dont know how they make this stuff but Im thinking coco powder and magic. =)- but i will be ordering again but not from amazon sadly to much money.,X_train
18,This was a great buy for me..  Cheaper than the store and it came in a timely manner..  Thanks,X_train
19,These cloth diapers are wonderful.  Highly recommend.  They are becoming more and more popular and we love the selection available on Amazon.,X_train
20,"I'm a tea drinker and I love loose tea.  I've tried several types of tea balls and even bought my own cloth tea bags.  I can tell you this tea infuser really is the Ultimate.  It's so easy to use: just put infuser in your cup, add the loose tea into the infuser and pour the boiling or hot water over.  I use the little metal cap over the tea while it's steeping to keep the heat from drifting out and then I use it to set the infuser in when I take it out of the cup to keep any additional water from getting on the table.  I love this product and it's price is the best on Amazon.",X_train
21,"After our Safety 1st monitor bit the dust last week, we had to rush out and buy a new one.  So far, we have had no problems.  The phone does not interfere with it, nor do I have any of the random beeps or static that I did with our old monitor.  My only real complaint is that the base on the Parent's Unit is very narrow, causing us to have to prop it up at times.  It is quite unstable.  But, I really like the fact that the batteries on the parent's unit are rechargable.  I was used to chewing through 4 AAA batteries a week with the other one.  Also, the range on the parent's unit is wonderful.",X_train
22,"Bought this for my 11 month old son as a xmas stocking stuffer, but when he saw it, he wanted to play with it right away.  It is a big hit because if you push car back it winds up and takes off and he just laughs seeing the car move.<br />Great buy.  Looking for more colors.",X_train
23,"The bottles are great! They heat up nicely, they look great, they feel good (the silicone sleeves keep your hands from burning!) in your hand, and my lo loves them!  The only complaint I have is the openings of the bottles.  I wish they were bigger to make it easier to get scoops of formula into the bottles.  That is really the only thing keeping me from giving these 5 stars.",X_train
24,"I purchased these chips for my mobile vending cart. Because I have Amazon Prime the cost per bag is really good as far as a reseller goes. Each flavor is really good in its own right. These chips the Asian Sweet and Spicy are just so tasty. Its just the right amount of sweet and the slightest bit of spice that makes these a fantastic tasting chip.<br /><br />Lets talk about details:<br /><br />Chip thickness (+)<br />These are gourmet chips and the quality is there from the moment you open the bag. Each one is crunchy and not too thick but just enough to let you know you didn't buy a bag of Lays.<br /><br />Grease (+)<br />These are NOT greasy chips. Depending on the flavor they are just mildy seasoned and not coated in a heavy grease or oil.<br /><br />Flavor (+)<br />Each flavor stands completely on its own. You could do a blind taste test of each one of these flavors sold by Deep River and I bet you could tell what it was. None of the flavors are overpowering except maybe the Jalapeno flavor which is honestly too hot and I love hot food.<br /><br />Resale (+)<br />You may not resell these but at the current price and using Prime shipping the cost per bag allows you to make a decent profit.<br /><br />Overall:<br />These are great tasting, unique flavored chips that are hands down better than the ones you can get in bulk at a Sams or BJ's. Do yourself a favor and try a bag or two. I bet you'll love em like we do.<br /><br />Thanks for reading my review.",X_train
25,My son eats so many of these organic squeeze packets.  He seems to love this flavor.  I have it on auto subscribe and love the savings!,X_train
26,This works with LATCH and for the price it is awesome.  Does the job!!!!  I highly recommend this product.,X_train
27,I use boullion  cubes for soup stock because I can keep them in the cabinet and they impart a very good base for what ever else I'm making like soup or stew or a rice dish. McCormick Brand Spices has improved in quality quite a bit. This boullion is fresh when I receive it and has a good flavor.,X_train
28,Easy transition from Bottle to sippy cup. My son is picky with his milk bottle and when he saw this it was a perfec match!,X_train
29,"This is some seriously good white miso, and it's gluten-free! I would recommend this sweet miso to anyone who wants to enjoy the health benefits of fermented soy bean paste without gluten.",X_train
30,"I'm not gonna lie, these kinda smell and taste like dog food would, but I weirdly got used to it and mix them with my mulberries for a granola-like snack. Super healthy!",X_train
31,"My friend mentioned his favorite candy bar was Twix. I stuck this monster bag in my glove compartment and grabbed one of these every time I knew I was going to see him (weekly), and gave it to him. He now associates me with good feelings.... and hunger...",X_train
32,My husband loves this coffee.  I heard it is going to be discontinued soon so I bought a bit shipment.  I may buy some more before it goes away.  Ugh Oh ... Am I becoming a hoarder?  Oh well ... what can I say ... the coffee is supreme.,X_train
